clean_statement,label,Category
"Top virologist quits institute, creates stir",1,ELECTION
"Samyukt Kisan Morcha asks farmers to return to borders, continue peaceful protest",1,GOVERNMENT
Traffic snarls in Mumbai as Police imposes 2-km radius rule to curb spread of coronavirus,1,GOVERNMENT
Farmers' sit-in at Noida-Delhi border continues; key route to Delhi closed for vehicles,1,GOVERNMENT
Three American tourists rescued from Rajaji Tiger Reserve,1,TERROR
"Fact Check: Dabangg-3 fame Javed Hyder is not selling vegetables for living, due to lockdown.Fact check: Are pictures of rush in MJ Market, Jambagh during lockdown old?",0,COVID-19
"Rahul Gandhi pours love again, says we don t need to hate political opponents",1,ELECTION
"Gujarat bypolls: We have to win this election, says Congress candidate in Morbi",1,ELECTION
Police complaint against JNU students for allegedly vandalizing Swami Vivekananda statue,1,VIOLENCE
Was told I m speaking language of Pakistanis Punjab BJP general secy quits over farm laws,1,ELECTION
"DMK MP urges Centre to lift shocking ban on firecrackers, says they wont hurt environment or worsen Covid-19",1,GOVERNMENT
"India, Oz conduct naval exercise in Indian Ocean",1,TERROR
In pictures: Taj Mahal's main mausoleum damaged in thunderstorm,1,VIOLENCE
"Tripura Governor Tathagata Roy announces Vajpayee is dead, then deletes tweet",1,ELECTION
"Gujarat s corona count crosses 29000, death toll rises to 1,736",1,COVID-19
"Union Minister, who claimed papad helps fight COVID-19, tests positive",1,COVID-19
"Left, Congress to discuss seat-sharing formula with Abbas Siddiqui next week",1,ELECTION
Old photo of man demanding release of pro-freedom Kashmiri leaders falsely linked to farmers protest,0,VIOLENCE
Politics of the cow what emboldens the lynch mobs?,0,VIOLENCE
"Anti-CAA protesters actor-activist Sadaf Jafar, retired IPS officer Darapuri walk out of jail",1,VIOLENCE
Ignore illegal resolution: Bengal Governor to Jadavpur University head,1,ELECTION
Video Of Father Asking Daughter To Not Marry Viral With Communal Claim,0,VIOLENCE
"4 dead, 10 injured in accident near Yamuna Expressway in Mathura",1,GOVERNMENT
"Unlikely, trade deal would be inked but Trump s India visit shows strong, enduring ties : White House",1,POLITICS
Ashok Gehlot sends fresh proposal to Rajasthan Guv on Assembly session from July 31; third in 5 days,1,ELECTION
Sena welcomes Amit Shah s stand on Maharashtra Guv-CM letter row,1,ELECTION
Fact Check: This video of agitating AAP leaders is not linked to CM Kejriwal s alleged house arrest,0,VIOLENCE
Rajnath Singh holds talks with Chinese counterpart General Wei Fenghe in Moscow,1,COVID-19
How 5 families over 3 generations have controlled Haryana s politics from day one,1,POLITICS
"10 lakh jobs, Rs 1,500 unemployment allowance ? Congress? promise to Bihar in poll manifesto",0,COVID-19
Fact Check: This picture is NOT of doctors and nurse who...,0,MISLEADING
Congress won t form an alliance with AAP in Delhi for Lok Sabha polls: Sheila Dikshit,1,ELECTION
BJP s latest olive branch for Shiv Sena Rs 100 cr memorial for Bal Thackeray,1,ELECTION
"BSNL staff traitors, don t want to work BJP MP Anantkumar Hegde stirs up another row",1,POLITICS
Fact Check: This picture showing the plight of patients is not from Kashmir,0,MISLEADING
Fact Check: Did Rajnath Singh Recently Protest Against High Petrol Prices?...,0,POLITICS
"FIR against BJP s Kailash Vijayvargiya, Dilip Ghosh for encouraging violence in Siliguri",1,ELECTION
"Uddhav Thackeray: All powers concentrated in one hand, what s meaning of state govt",1,ELECTION
"Saare Jaha se accha, Gandhistan humara",1,VIOLENCE
"Nothing but criminal act , Markaz clarification not enough : Delhi govt on Nizamuddin event",1,GOVERNMENT
"No, Smriti Irani did not say, If PM Modi loses I will commit suicide",0,GOVERNMENT
Punjab opposition joins hands to take on Rahul Gandhi s clean chit to party on 1984 riots,1,VIOLENCE
BJP s polling agents were not tortured in Bengal; this picture is...,0,VIOLENCE
Press Council of India member resigns citing deep crisis in media,1,POLITICS
Google is wading into a market that China really wants to own,1,TERROR
Ayodhya verdict: Justice S Abdul Nazeer most sought after in matters involving religion in SC,1,TERROR
Fact Check: Yediyurappa did not attend Kumaraswamy Junior s wedding amid lockdown,0,MISLEADING
"Sanjay Dutt didn?t convert to Islam; here?s the truth behind this....No, People From Amethi Did Not Cry While Meeting Rahul Gandhi...",0,COVID-19
Video Of Train With Adani-Wilmar Ad Viral With False Claim,0,MISLEADING
Fact Check: Were sweets dumped in the RJD office after Bihar poll verdict?,0,COVID-19
Old video of DMK leader assaulting woman resurfaces as attacking doctor,0,VIOLENCE
"Telecom Ministry: Wrong Claims, Bad Maths",0,COVID-19
Manoj Tiwari was beaten by Jats with shoes in Delhi? Here s...,0,ELECTION
Former West Bengal minister Rajib Banerjee quits TMC after 2 decades,1,POLITICS
Pentagon okays sale of spares for India s Super Hercules fleet,1,TERROR
"Day after fainting mid-speech, Gujarat CM Vijay Rupani tests positive for Covid-19",1,COVID-19
Pron ?sticos sobre el avance de los ciclones Laura y Marco en el Caribe y EE.UU. CNN,1,POLITICS
Fuel Price Pinch In India: Viral Pic Claiming German Mass Protest Is...,0,VIOLENCE
Fake: Government is not reducing pension of Central Government employees,0,POLITICS
Three Rajasthan stations lead railways cleanliness survey,1,GOVERNMENT
Fact Check: This girl with a beautiful voice is not related to Kishore Kumar. Fact Check: This girl with a beautiful voice is not related to Kishore Kumar,0,MISLEADING
IIT optics specialist Ramakrishna joins as CSIO director,1,VIOLENCE
Bhutan Has Not Stopped Flow Of Irrigation Water To Assam,0,COVID-19
"Rajasthan Cong moves MLAs to resort; CM Ashok Gehlot alleges horse-trading, says BJP wants MP story in state",1,ELECTION
"Mumbai: BMC declares Wockhardt Hospital containment zone as 26 nurses, 3 doctors test Coronavirus positive",1,COVID-19
Army corps formed during the 1962 war celebrates raising day,1,GOVERNMENT
"Fact Check: Hindu Khatre Mein Hai? How The Fake News Ecosystem Targets Minorities To Create A Fear....Did PM, FM Seek Out Manmohan Singh's Advice On The Economy?: Old Video ...",0,COVID-19
"CM Uddhav Thackeray quells rumours, says lockdown won t be re-imposed in Maharashtra",1,ELECTION
"Sept surge: 41% cases, 34% deaths",1,COVID-19
"This video of children being beaten in a Cage is from Porbandar, Gujrat",0,VIOLENCE
"No sudden inquiry, no pension bar how EC plans to protect state officers from vendetta",1,TERROR
"12 new cases push COVID-19 tally of Andamans to 4,352",1,COVID-19
"World after COVID-19 needs globalisation based on fairness, equality, humanity : Indian envoy in US",1,POLITICS
Ronaldo is NOT converting his hotels into hospital(s) amid Coronavirus outbreak,0,MISLEADING
CM Kejriwal to go on indefinite hunger strike over Delhi statehood from 1 March,1,GOVERNMENT
The 2-year-old video is being circulated in the context of the Motor Vehicle Act.,0,VIOLENCE
IndiGo to charge Rs 100 for check-in at airport counters,1,TERROR
Rahul Gandhi pleads not guilty of defamation over thieves share Modi surname remark,1,ELECTION
GDP to contract 4.5% in current FY due to impact of coronavirus: Centre agrees with IMF s prediction,1,TERROR
Fact Check: Netizens confuse 2 popular bloggers in emotional post on love,0,GOVERNMENT
In golden letters on Jinnah s grave : TMC s Derek O Brien jibes at PM Modi over CAB,1,POLITICS
"Tracing, testing helped Dharavi flatten Covid-19 curve",1,COVID-19
"Chidambaram slams BJP govt over YES Bank crisis, terms RBI resolution plan bizarre",1,TERROR
Kejriwal: Delhi To Impose Lockdown In COVID-19 Hotspot Markets If Surge...,1,COVID-19
"Fact Check: Post elections, did EC order recounting in 25 Bihar...",0,MISLEADING
Gadkari suggests merger of PMC Bank branches with strong local banks,1,TERROR
"Loan moratorium: SC issues notice to Centre, RBI on plea seeking interest waiver",1,TERROR
"Lok Sabha elections 2019: From tackling fake news to monitoring spending, the EC has its hands full",0,GOVERNMENT
Fact check: Viral video of Hyderabad floods date back to September 2019,0,MISLEADING
Fact Check: FCI says article on news websites regarding food grains going waste is misleading.Fact check: Viral claims that Chinese Bistro in Atlanta was shut down for selling rat meat dishes are False,0,MISLEADING
21% Indians Received Medical Attention from Untrained Personnel Before Dying,0,MISLEADING
"Onion, potato prices rise; House panel to take up issue",1,GOVERNMENT
No cash award system Army junks reports that said Shopian encounter staged for Rs 20 lakh,1,COVID-19
"Scientists to help Sikkim farmers grow Rs 3,000/kg mushroom variety with enhanced Vitamin D",1,ELECTION
FBI Agent Accidentally Arrested During 2020 US Protests? A FactCheck,0,VIOLENCE
Fact Check: Photo of Eid procession in Bangladesh passed off as CAB protest in Mumbai. Fact Check: Old video of overcrowded train in Bangladesh passed off as Shramik Special,0,VIOLENCE
"Supreme Court seeks Covid status report from 4 states witnessing surge in cases, says Situation may worsen",1,COVID-19
Has Madhu Shah sent you friend request on Facebook? Unfriend her now!,0,POLITICS
"Fact Check: This is not Amulya, the girl who raised Pakistan Zindabad slogans in 2020, at the farmers' protest",0,MISLEADING
Mahatma s soul would have pained : Sonia Gandhi targets BJP on Gandhi Jayanti,1,ELECTION
Prasar Bharati action against PTI condemned,1,VIOLENCE
Fake Alert: Don t believe this picture of Bill Gates holding placard...,0,GOVERNMENT
Amit Shah salutes brave soldiers on 21st anniversary of India s victory in Kargil war,1,POLITICS
PIL challenges extension given to ED Director Sanjay K Mishra,1,VIOLENCE
"Fact Check: AP Govt Has NOT Announced Holidays for Schools, Colleges...",0,MISLEADING
"RS panel on science and technology meets, Naidu expresses satisfaction on resumption",1,ELECTION
Nepal not cooperating in flood control: Bihar officials to House panel,1,POLITICS
"Gujarat adds 1,411 new COVID-19 cases, 1,231 recover; 10 die",1,COVID-19
"Decision in 2-3 days over interest on deferred instalments by banks, Centre tells SC",1,TERROR
FAKE ALERT: CCTV Footage of Abuse in Sri Lankan Prison Passed Off as Detention Camp in India..Fact Check: Anti-CAA protests in Hyderabad passed off as police crackdown post NRC in Assam,0,VIOLENCE
"Dolphins, trekking Aaditya Thackeray plans Maharashtra s own travel and living TV show",1,GOVERNMENT
"Farmers stage protest at India gate against agriculture bills, set tractor on fire",1,GOVERNMENT
"Jaipur sees steep hike with ten new patients, Rajasthan total 79",1,COVID-19
India rejects China's 1959 claim line,1,TERROR
High Court grants more time to Delhi University to draw plan for conducting final year examinations,1,VIOLENCE
"Farmers protest: Opposition leaders to meet President, request his intervention",1,ELECTION
Satirical Cartoon On Modi Was Not Created By US Cartoonist Ben,0,COVID-19
Home ministry has time till July 2021 to frame and notify rules for CAA implementation,1,GOVERNMENT
Maneka Gandhi tells Muslims to vote for her because they will need her,1,GOVERNMENT
"J&K DDC polls: Less than 18% panch, 40% sarpanch seats go to polls today",1,ELECTION
"Over 1 lakh vacancies in CAPFs, govt tells Rajya Sabha",1,ELECTION
This is how Rahul and Sonia Gandhi retain Amethi and Rae Bareli,1,ELECTION
"Gudiya rape case: Victim faced exceptional depravity, says Delhi court, holds 2 accused guilty",1,VIOLENCE
Fact Check: Viral message claiming Kiran Bedi as new Governor of J&K is false.Fact Check: BSP Chief Mayawati Has Not Submitted Any Memorandum To UP Governor Anandiben Patel Over...,0,POLITICS
Parents move Supreme Court against CBSE decision to hold Class XII exams in July,1,TERROR
Fact Check: Salman Khan did not call Sushant Singh Rajput a...,0,POLITICS
Video of man pushing a mini Ferris wheel welded to his bike is at least 2 years old,0,VIOLENCE
Telangana: Trainee pilot at Hakimpet Air Force Station hangs self; depression suspected,1,VIOLENCE
Congress leaders on way to meet President over farm laws stopped by Delhi Police; Priyanka Gandhi detained,1,GOVERNMENT
"If You Give Money For A Good Cause, I-T Act Offers You Tax Benefits",1,GOVERNMENT
"Delhi traders say BJP punished them with GST & by sealing shops, but AAP not the solution",1,ELECTION
"Siddhivinayak temple to allow 1,000 devotees beginning November 16",1,TERROR
Was Rahul Gandhi's meeting with migrants a 'staged photo-op'?,0,COVID-19
Consider inviting Finance Minister : Cong on Sitharaman s absence at PM s budget meet,1,ELECTION
Fact Check: Did Soldiers At Galwan Valley Celebrate Ganesh Puja As Claimed In The Viral Video?,0,COVID-19
"35K cases in a day, but recovery rate up",1,COVID-19
SC pulls up Centre for 'hiding behind RBI' on interest waiver during moratorium,1,TERROR
Police Brutality During Idol Immersion In Munger Shared As West Bengal,0,VIOLENCE
"This video is from Gujarat Jamnagar, from a programme organised on 23 August 2019 where sword skills were demonstrated by women.No, this is not a video of New Zealand children learning about Islam at a mosque after the March 2019 Christchurch shootings",0,VIOLENCE
Ramnath Goenka: The publisher-proprietor with a journalist s instinct,1,VIOLENCE
Western Command Chief visits forward area of Rising Star Corps,1,GOVERNMENT
Jammu-Srinagar highway reopens after four days as valley takes snowfall break,1,GOVERNMENT
Congress posted old images to attack BJP government.Fake photo of AP used as police action on Kashmir protesters,0,VIOLENCE
"HRD Ministry Could Not Give Proof That 80,000 'Ghost Teachers' Were Caught Due To Aadhaar: RTI",0,POLITICS
2015 video of pro-Pakistan chants in Kashmir falsely linked to farmers protest,0,VIOLENCE
A Dummy s Guide to the Vice-President s Election,1,ELECTION
"Fact Vs Fiction: FactChecking Predictions Of An Earthquake, Pak...",0,GOVERNMENT
Fact Check: Did a tree grow out of a car overnight?,0,COVID-19
CBI opposes Lalu Prasad s bail in Dumka treasury case,1,VIOLENCE
"Pfizer completes COVID-19 trial with 95% efficacy, to seek emergency-use authorisation",1,COVID-19
"Do remember, 5 PM this evening for 5 minutes : PM Modi s reminder to nation",1,POLITICS
Rajiv Kumar takes over as Election Commissioner,1,ELECTION
Fact Check: Old Photo Of Students Protest Against RSS Goes Viral As New,0,VIOLENCE
Flight with 180 Indians stranded in Dubai lands in Tamil Nadu,1,COVID-19
Naidu: House panels begin scrutiny of Covid handling,1,ELECTION
India Today and its botched up exclusive on Jamia police violence Alt News investigation,0,POLITICS
Fact Check: Love in the time of Corona? Know the truth behind this viral image.Fact Check: Here?s the truth behind this morphed picture of PM...,0,MISLEADING
MHA puts on hold list of non-Swadeshi items for CAPF canteens,1,GOVERNMENT
The Ministry of Tourism has NOT issued any order of closing down restaurants till October.Fact Check: Ministry of tourism didn t ask hotels to remain closed till Oct 15,0,MISLEADING
MP Congress Includes Mock Drill Video To Target CM Shivraj Singh...,0,POLITICS
Photo of Smriti Irani greeting BJP leader Hukumdev Narayan Yadav shared as rape guru,0,POLITICS
How Mahatma Gandhi committed suicide: Question asked in Gujarat school,1,ELECTION
Nizam s Fund Case: Kin to challenge princes claim to 35 million pounds,1,TERROR
President appoints Sanjay Kothari as Central Vigilance Commissioner,1,ELECTION
"New road in Nathu La sector opened, will bolster defence",1,GOVERNMENT
India makes last-ditch offer to avert Nepal map revision,1,POLITICS
"Photoshopped image shows Rahul Gandhi, Mamata Banerjee with Pak PM & Army Chief",0,GOVERNMENT
"COVID-19 may push millions more children into child labour: ILO, UNICEF",1,COVID-19
Society s irresponsible behaviour behind rapid COVID spread: Harsh Vardhan,1,COVID-19
"Some True, Most Not: BJP Spokesman's 2-Year Claims. BJP's Claim of Unemployment Drop: Data Confusing, Unreliable",0,MISLEADING
"Metro car shed: BJP plans mass campaign against relocation, Centre s nod now key factor",1,GOVERNMENT
Decline in NOTA share continues in Jharkhand Assembly Elections of 2019,1,ELECTION
13-million-year-old fossil ape discovered in Uttarakhand,1,GOVERNMENT
"Amarinder Singh takes exception to Punjab Governor summoning Chief Secy, DGP",1,ELECTION
Fanatics won t be allowed to go scot free : Kerala CM on Hindu right wing members destroying church film set,1,GOVERNMENT
"FACT CHECK: No, Bhutan didn t stop irrigation water for Indian farmers. Fact Check: Did Bhutan stop the supply of irrigation water for...",0,COVID-19
"Bihar woman delivers baby, and bullet",1,POLITICS
Vice President Naidu asks universities and educators to reassess education system,1,ELECTION
"Ruckus broke out on last day of Delhi Assembly, Vijender Gupta marshalled out",1,ELECTION
"Did Mamata Banerjee NOT greet PM Modi on his arrival in.... After resigning from ABP News, Punya Prasun Bajpai is not joining...",0,GOVERNMENT
Fact Check: Image of potholed road in Bihar used to take a dig at Rahul Gandhi,0,GOVERNMENT
Congress seeks virtual Parliament session to discuss LAC stand-off,1,POLITICS
"Dhoni Joining Congress? No, That's Bad Photoshop.Fact check: Jack Ma did not say ?for people in business,...",0,MISLEADING
"Sadhguru: No Bombings In Modi Era. Fact: 400 Plus In 2016 Alone, Official Data Show",0,COVID-19
Will pass any Assembly resolution needed to oppose farm laws: Capt Amarinder Singh,1,ELECTION
Punjab CM writes to Centre requesting COVID-19 testing capacity enhancement,1,COVID-19
AYUSH ministry offers tips to boost immunity amid coronavirus pandemic through Ayurveda,1,COVID-19
Shah Faesal asks donors not to send worn out socks,1,POLITICS
Fact Check: This video of illegal voting is not from Bihar,0,VIOLENCE
NCB denies producer Kshitij Ravi Prasad's claim of 'physical ill treatment',1,TERROR
3 Years Of PM Modi Government: Know What Was Promised And What Is Delivered,0,COVID-19
Fact Check: Two-year-old clip of man blackening Hindi text on signboard linked to farmers stir,0,VIOLENCE
"Business activity approaching pre-Covid level, says PM",1,POLITICS
"Fact Check: No, Muslim students don t stay for free in Jamia s J&K Hostel",0,MISLEADING
"Did Arnab Goswami say kill thousands after dilution of Article 370? No, old clip shared on social media",0,POLITICS
Congress spokesperson Priyanka Chaturvedi and her daughter threatened on social media over fake quote,0,GOVERNMENT
"J-K: Truck catches fire, multiple LPG cylinder blasts trigger panic in areas along highway",1,GOVERNMENT
Fact Check: Video claiming Italy discovered COVID-19 is bacteria not virus is misleading,0,MISLEADING
"FACT CHECK: No, Bhutan didn't stop irrigation water for Indian farmers",0,COVID-19
"Cleaner, greener, well-connected Yediyurappa s grand plan under Bengaluru Mission 2022",1,VIOLENCE
"Harassment case: ABVP says complaint against Subbiah withdrawn; not yet, says police",1,VIOLENCE
"Coronavirus lockdown: UN expresses solidarity with India, WHO terms response comprehensive, robust",1,POLITICS
False claim: Bal Thackeray s sister is Sharad Pawar s daughter Supriya Sule s mother-in-law,0,VIOLENCE
"Nitish allocates portfolios among Cabinet members, retains home",1,ELECTION
IT workers being gradually recalled to work in Telangana,1,GOVERNMENT
"India escapes US watch list, Pak sanctions on religious freedom issues",1,TERROR
China has no locus standi to comment on our internal matters : India on Ladakh remark,1,TERROR
"Watch | UP BJP MLA tells people not to buy vegetables from Muslim vendors, sparks row",1,ELECTION
"We asked for 2 days but got 6 months , says Uddhav Thackeray on President s rule in Maharashtra",1,ELECTION
Fact Check: Old picture of Indian journalist manipulated to create false...,0,MISLEADING
Fact Check: Viral message claiming Facebook will make private photos public is false.Message Claiming Facebook Will Take Over Your Photos Is A Hoax,0,MISLEADING
Hoax About Naseeruddin Shah Surface In A Dark Week For Cinema,0,POLITICS
"Inflammatory, fake post claims Christian man burned alive for converting Hindus in Nepal",0,VIOLENCE
"Lufthansa to commence flight services to Delhi, Mumbai, Bengaluru from August 13",1,VIOLENCE
"Wing Commander Abhinandan Varthaman voted for BJP? No, he s a lookalike",0,GOVERNMENT
"TMC MLA s house vandalised in West Bengal s Malda, compliant filed",1,POLITICS
Plea in HC to close liquor shops in Delhi till COVID-19 pandemic under control,1,COVID-19
"9 new cases push COVID-19 tally of Andamans to 3,803",1,COVID-19
Gurugram shopping malls to open next week,1,GOVERNMENT
"Delhi officer missing since a week, family seeks help on social media, says govt hasn t helped",1,TRAD
"JEE Main 2020: Online registration process to end soon, apply now at jeemain.nic.in",1,TERROR
"India to get its first Chief of Defence Staff, will act as Principal Military Adviser to Defence Minister",1,POLITICS
PIL challenges extension given to ED Director,1,VIOLENCE
Fact Check: Mock Drill By Jharkhand Police Passed Off As Assam Police Shooting Protesters,0,VIOLENCE
BJYM Bhopal removes Dhruv Saxena accused in ISI spying case from their website,0,POLITICS
Old video of dead bodies in Mecca during Hajj shared as coronavirus victims,0,VIOLENCE
"Prez, PM, others pay tribute to Chief architect of Constitution BR Ambedkar on his birth anniversary",1,POLITICS
"No strong push for public schooling in India, says Amartya Sen on NEP",1,POLITICS
"Shaheen Bagh protesters invite PM Modi to Valentine s Day celebration, plan surprise gift",1,POLITICS
Court reserves order on Nirbhaya convict s plea claiming he wasn t in Delhi on date of crime,1,VIOLENCE
BJP releases manifesto in Urdu for DDC polls in Kashmir,1,ELECTION
Fact Check: Iceland did not declare all religions as mental disorders ;...,0,POLITICS
"After quitting BJP, Manvendra Singh to join Congress Wednesday",1,ELECTION
RRB paramedical answer keys 2019 released at rrcb.gov.in | Raise objections till August 8,1,GOVERNMENT
Centre cautions West Bengal government against violation of lockdown measures,1,GOVERNMENT
"Reassess actions, take corrective steps: India",1,POLITICS
23 Indian sailors who were stranded in Chinese waters since June set to return,1,POLITICS
"Jab We Hel-Met to Bernie meme, UP Police gets creative on social media to raise awareness",1,POLITICS
"Will meet President, stage protest outside PM s residence if needed, says Ashok Gehlot",1,ELECTION
"Congress happy with Rahul Gandhi's Rajasthan visit, to keep up momentum",1,ELECTION
"India, China move heavy weapons to rear bases near eastern Ladakh: Report",1,POLITICS
China s military posturing questions validity of treaties,1,TERROR
LAC row: Disengagement meet to test China s sincerity,1,TERROR
"Don t link RSS to Maharashtra govt formation, says Nitin Gadkari",1,ELECTION
Karnataka s Covid tally crosses 5 lakh,1,COVID-19
"India now deals with China on more equal terms politically, Jaishankar tells Rahul Gandhi",1,POLITICS
Rahul Gandhi blames demonetisation and GST for lynchings,1,ELECTION
CBI summons 2 Mumbai cops in connection with Sushant Singh Rajput death case,1,VIOLENCE
"Tomar writes to farmers, asks them to adopt best agricultural practices for maximising crop production",1,GOVERNMENT
Not The Person Putting Money In Wheat Flour Packets: Aamir Khan,0,COVID-19
Govt needs to define COVID-19 vaccine distribution strategy: Rahul Gandhi,1,ELECTION
"3 terrorists killed, 1 civilian injured in J&K's Pulwama",0,VIOLENCE
"Cops use tear gas shells, water cannons to disperse farmers at border; tractors push back police vans",1,GOVERNMENT
"Fact Check: These Viral Photos Of Protest Against CAA Are From Bangladesh, Not Mumbai. Fact Check: Fake sanitisers seized in Bangladesh, pics viral in India with communal spin",0,VIOLENCE
Union Minister Pralhad Joshi tests COVID positive,1,COVID-19
Sushant case: CBI questions Rhea Chakraborty for 8 hours,1,VIOLENCE
Jammu and Kashmir: Congress leader in trouble over home built on state land,1,ELECTION
CPI seeks protection for Kashmiri students,1,VIOLENCE
"Delhi Govt Says Air Pollution Was Lowest In 5 Yrs This Diwali. Fact: Partly True.Fact Check: No, Pakistan is not visible from Mehrangarh Fort in Jodhpur",0,POLITICS
Judge needs to withstand pressures; stand up against obstacles: Justice NV Ramana,1,GOVERNMENT
Sonia Gandhi richer than Queen Elizabeth-II? 6-year-old misreport shared by BJP members,0,COVID-19
Is this a picture of Muslim Congresswoman at a Al Qaida...,0,TRAD
Over 50 cases registered in 5 western UP districts for violations of firecrackers ban,1,GOVERNMENT
Lok Sabha speaker Sumitra Mahajan suspends 19 AIADMK & TDP MPs for 4 days,1,ELECTION
Union Cabinet clears Citizenship Amendment Bill; to be introduced in Parliament soon,1,ELECTION
BJP hits out at Rahul Gandhi for his lies comment on PM Modi,1,ELECTION
Congress not to disclose CM candidate s name in poll-bound Telangana,1,ELECTION
"Union Minister Says, No Attack On Kashmiri Students After Pulwama Attack ; Is It True?",0,POLITICS
Indian troops on border duty carry arms: Jaishankar to Rahul; Surjewala hits back,1,GOVERNMENT
A person unrelated to Ravish Kumar is claimed to be his sister who s been suspended due to corruption charges,0,GOVERNMENT
Congress MLA Komatireddy set to join BJP,1,ELECTION
"Subramanian Swamy wants you to believe Nirav Modi paid Congress Rs 98 cr, but he s wrong.PM Modi, Nitish Kumar didn?t laugh while paying tribute to Pulwama...",0,GOVERNMENT
FACT CHECK: Viral `birth certificate' claiming Barack Obama was born in Kenya is a HOAX,0,MISLEADING
Jobless migrants may do illegal activities : Bihar Police letter puts Nitish govt in a spot,1,ELECTION
"India's Covid tally crosses 38-lakh mark with record single-day jump of 83,883 cases",1,COVID-19
Arvind Kejriwal unlikely to contest 2019 Lok Sabha polls,1,ELECTION
Fact Check: Don t fall for this picture of a man holding...,0,VIOLENCE
Smriti s Irani s Blood-Soaked Sanitary Napkin Remark Did The Minister Fall For Social Media,0,GOVERNMENT
"No, Shivraj Singh Chouhan did not plaster different arms in the morning and evening",0,POLITICS
"Indian Railways develops Post Covid Coach consisting handsfree amenities, plasma air purification",1,COVID-19
"Rajasthan reports four COVID deaths, 92 new positive cases",1,COVID-19
"BJP leader files complaint with EC, seeks de-recognition of PDP over anti-national remarks",1,ELECTION
Fact Check: Video of fruit cart being demolished is NOT from....Fact Check: Old picture of people living in abandoned pipes from...,0,COVID-19
Prakash Javadekar calls Congress confused party for raising questions over appointment of CDS,1,TERROR
"Gehlot slams door on Pilot, calls him nikamma, nakaara",1,ELECTION
Retired IPS K Vijay Kumar appointed MHA security advisor on J-K,1,VIOLENCE
"In faraway Dehradun, Bihar migrant workers keep tabs on results",1,ELECTION
Back to villages in crowded buses has dented purpose of lockdown : Chidambaram on mass exodus,1,ELECTION
Fact Check: Is Canada deporting Indian students for submitting fake IELTS score?. Fact Check: Did NPR Manual 2020 Specifically Exclude Muslim Festivals From The List?,0,MISLEADING
Fact Check: TIME magazine did not publish TIME to go cover featuring...,0,MISLEADING
"Want medical, technical institutes that teach in local language in each state, says Modi",1,ELECTION
Poet Rahat Indori dies at 70 after testing positive for COVID-19,1,COVID-19
"Uddhav Thackeray formally takes charge as Maharashtra CM, could face floor test Saturday",1,ELECTION
Fact Check: Fake letter claims PM Modi wants Giriraj Singh as chief minister of Bihar. Fake Letter Claims PM Modi Endorses Giriraj Singh As Next Bihar CM,0,GOVERNMENT
"Fact Check: Nagma goofs up again, calls anti-govt activist Vajpayee s niece",0,POLITICS
"Fact Check: No, the viral images are not from PM s rally in Bengal. Fact Check: Congress Uses 5 Month Old Video Of Black Flags Being Shown To PM",0,VIOLENCE
"SC asks Bihar govt to move HC for transfer, trial of cases against foreigner Tablighi members",1,VIOLENCE
"Six-year-old girl kidnapped, raped in UP s Azamgarh",1,GOVERNMENT
Punjab rail blockade poses a challenge for Army: getting winter supplies to J&K,1,GOVERNMENT
Times Now boldly questions Home Minister Kanhaiya Kumar and National Security Advisor Umar Khalid for the Naxal attack in Sukma,0,POLITICS
'Chapter on coronavirus be introduced in school curricula',1,GOVERNMENT
Over 1 crore waitlisted passengers denied train travel in 2019-20: RTI,1,GOVERNMENT
"BARC India slams Republic Network for disclosing confidential communication, misrepresentation",1,POLITICS
"To put pressure on Amarinder, own party, AAP MLA Phooka threatens to quit Assembly",1,ELECTION
Ballia firing: Man who shot farmer in presence of cops arrested in Lucknow,1,VIOLENCE
Ranu Mondal Demands A Piece Of Ayodhya Land To Build A Church? How...,0,POLITICS
This picture is not from Kashmir; here s the fact check of...,0,MISLEADING
"CBI summons six Bengal police officials in cattle-smuggling, illegal coal mining cases",1,VIOLENCE
"Anti-CAA protests: Bhim Army chief in police custody, minors among 40 detained in Delhi",1,GOVERNMENT
"No, this is not a video showing the aftermath of an attack by Muslims on Hindus in India",0,VIOLENCE
BJP is set to announce its CM face to take on Kejriwal in Delhi. These are the contenders,1,GOVERNMENT
"India is creating a golden chapter in Ayodhya, wait of centuries ends today: PM Modi",1,POLITICS
"Sachin Pilot sacked as Rajasthan Dy CM & state Congress chief, says truth can t be defeated",1,ELECTION
ED to attach Ceejay House in Mumbai after Praful Patel s submission of deal,1,ELECTION
700 fake job offers thwarted by Indian embassy in UAE,0,POLITICS
Medium-intensity earthquake hits Delhi,1,GOVERNMENT
Tennis tournaments canceled in China until next year amid coronavirus fears,1,TERROR
20 hospitalised after gas leak in Andhra s Chittoor,1,VIOLENCE
Fact Check: False claims of Rajiv Gandhi at Ram temple ?bhoomi pujan? go viral.Fact Check: False claims of Rajiv Gandhi at Ram temple bhoomi pujan go viral,0,MISLEADING
Centre s final stimulus package likely in Sept-Oct: Gurumurthy,1,GOVERNMENT
"Moody s pegs growth at 0%, industry seeks help",1,COVID-19
"Manmohan was preoccupied with saving coalition, Modi autocratic in 1st term: Pranab Mukherjee in memoirs",1,POLITICS
Defence Minister Rajnath Singh felicitates NCC bravehearts,1,COVID-19
"Regional parties absent from J&K political scene, BJP readies for organisational polls",1,ELECTION
